CDK8_GSM937562	AUC = 0.523
SP1_GSM2065876	AUC = 0.523
FOXA1_GSM798436	AUC = 0.523
CTCF_GSM2247247	AUC = 0.523
H2AZ_GSM2257956	AUC = 0.523
CTCF_GSM2316305	AUC = 0.523
ESR1_GSM1669089	AUC = 0.523
NFE2_ENCSR552YGL_2	AUC = 0.523
CBX4_GSM1294942	AUC = 0.523
EP300_GSM2550223	AUC = 0.523
GATA3_GSM986073	AUC = 0.523
POLR2A_GSM803474	AUC = 0.523
NANOG_GSM456572	AUC = 0.523
ZFAT_GSM1208675	AUC = 0.523
MBD3_GSM1089817	AUC = 0.523
EGR1_GSM1010846	AUC = 0.523
ESR1_GSM798433	AUC = 0.523
FOSL2_GSM1010748	AUC = 0.523
TOP1_GSM2058666	AUC = 0.523
TP53_GSM1348340	AUC = 0.523
EP300_GSM1059392	AUC = 0.523
CTCF_GSM1240827	AUC = 0.523
SMARCC1_GSM2472121	AUC = 0.523
SUMO1_GSM1035434	AUC = 0.523
KDM3B_GSM1847178	AUC = 0.523
TCF7L2_GSM816438	AUC = 0.522
NANOG_GSM1505702	AUC = 0.522
TOP1_GSM2058675	AUC = 0.522
JUN_GSM1700786	AUC = 0.522
SOX2_GSM1364026	AUC = 0.522
CTCF_GSM822271	AUC = 0.522
CTCF_GSM624081	AUC = 0.522
YY1_GSM2026776	AUC = 0.522
KDM1A_GSM1619040	AUC = 0.522
ESR1_GSM2071224	AUC = 0.522
RAD21_GSM2297330	AUC = 0.522
TOP1_GSM2058676	AUC = 0.522
ESR1_GSM1669144	AUC = 0.522
REPIN1_GSM1141538	AUC = 0.522
POU5F1_GSM1705268	AUC = 0.522
NR1H2_GSM2042842	AUC = 0.522
SRF_GSM1505773	AUC = 0.522
EP300_GSM2550230	AUC = 0.522
TFAP2C_GSM889428	AUC = 0.522
FOXM1_GSM1010769	AUC = 0.522
POU5F1_GSM1705267	AUC = 0.522
TCF4_GSM460122	AUC = 0.522
GTF2I_GSM1539072	AUC = 0.522
CTCFL_GSM1239559	AUC = 0.522
GATA3_GSM986072	AUC = 0.522
DAXX_GSM1678030	AUC = 0.522
SMARCA2_GSM2472119	AUC = 0.522
TET2_GSM2687535	AUC = 0.522
POLR2A_GSM1195570	AUC = 0.522
JUN_GSM1700785	AUC = 0.522
SMC1A_GSM2809612	AUC = 0.522
CTBP2_GSM935463	AUC = 0.522
AHR_GSM2406727	AUC = 0.521
ESR1_GSM798432	AUC = 0.521
ESR1_GSM2467227	AUC = 0.521
FOXO3_GSM869307	AUC = 0.521
NANOG_GSM2648932	AUC = 0.521
EP300_GSM2550209	AUC = 0.521
ESR1_GSM542547	AUC = 0.521
CTCF_GSM624077	AUC = 0.521
CTCF_GSM822297	AUC = 0.521
GATA3_GSM935445	AUC = 0.521
CTCF_GSM749747	AUC = 0.521
CTCF_GSM1224652	AUC = 0.521
HOXB13_GSM2480819	AUC = 0.521
POLR2A_GSM1195568	AUC = 0.521
ZBTB48_GSM2543158	AUC = 0.521
ESR1_GSM631452	AUC = 0.521
SMC1A_GSM2040042	AUC = 0.521
