NRF1_GSM1462478	AUC = 0.662
CREB1_GSM1873042	AUC = 0.661
CHD1_GSM831026	AUC = 0.661
CREB1_GSM1873046	AUC = 0.661
CNOT3_GSM1617374	AUC = 0.661
BRD4_GSM2350447	AUC = 0.661
POLR2A_GSM1116660	AUC = 0.661
TCF7L2_GSM1099032	AUC = 0.661
BRD4_GSM1328977	AUC = 0.661
ESR1_GSM2797101	AUC = 0.661
MAX_GSM894103	AUC = 0.661
NELFA_GSM1670873	AUC = 0.661
ASCL1_GSM1700638	AUC = 0.660
GRHL2_GSM2122802	AUC = 0.660
POLR2A_GSM588576	AUC = 0.660
POLR2A_GSM935534	AUC = 0.660
SNAI2_GSM1336156	AUC = 0.660
CREB1_GSM1873045	AUC = 0.660
EP300_GSM1052710	AUC = 0.660
POLR2A_GSM2316357	AUC = 0.660
ESR1_GSM2797108	AUC = 0.659
POLR2A_GSM2218635	AUC = 0.659
ESR1_GSM798393	AUC = 0.659
TCF7L1_GSM2065886	AUC = 0.659
ZNF273_GSM2466513	AUC = 0.659
MYC_GSM894102	AUC = 0.659
MBD2_GSM1388124	AUC = 0.659
MAX_GSM1711862	AUC = 0.659
TTF2_GSM891239	AUC = 0.659
GLIS2_ENCSR535DIA_1	AUC = 0.659
POLR2A_GSM2113335	AUC = 0.659
PSIP1_GSM1897372	AUC = 0.658
POLR2A_GSM1059393	AUC = 0.658
POLR2A_GSM1249894	AUC = 0.658
ASCL1_GSM1499403	AUC = 0.658
YY1_GSM2026775	AUC = 0.658
POLR2A_GSM1727102	AUC = 0.658
POLR2A_GSM2789803	AUC = 0.658
EZH2_GSM969562	AUC = 0.658
TFAP2C_GSM1469998	AUC = 0.658
ARRB1_GSM1340254	AUC = 0.658
MYC_GSM1054009	AUC = 0.658
CREB1_GSM1538429	AUC = 0.658
POLR2A_GSM2135493	AUC = 0.658
KLF15_GSM2026886	AUC = 0.658
POLR2A_GSM1537293	AUC = 0.658
BRD4_GSM1874948	AUC = 0.658
RPE_GSM2865075	AUC = 0.658
POLR2A_GSM1249895	AUC = 0.658
SUZ12_GSM831042	AUC = 0.657
SUZ12_GSM1003573	AUC = 0.657
XRN2_GSM891240	AUC = 0.657
MITF_GSM1226223	AUC = 0.657
POLR2A_GSM2360997	AUC = 0.657
KMT2A_GSM2364544	AUC = 0.657
MAZ_GSM2026792	AUC = 0.657
ESR1_GSM798394	AUC = 0.656
RNF2_GSM585229	AUC = 0.656
POLR2A_GSM2218642	AUC = 0.656
POLR2A_GSM1465034	AUC = 0.656
MAZ_ENCSR290SSQ_1	AUC = 0.656
BRD3_GSM1328972	AUC = 0.656
MYC_GSM1033754	AUC = 0.656
BRD2_GSM2265647	AUC = 0.656
POLR2A_GSM1727092	AUC = 0.656
POLR2A_GSM1670711	AUC = 0.656
SRC_GSM717979	AUC = 0.656
POLR2A_GSM2644612	AUC = 0.656
POLR2A_GSM2360957	AUC = 0.656
AFF4_GSM2373720	AUC = 0.656
AR_GSM2412293	AUC = 0.656
GRHL2_GSM2122803	AUC = 0.656
CTCFL_GSM1817659	AUC = 0.655
POLR2A_GSM2667596	AUC = 0.655
CREB1_GSM1873041	AUC = 0.655
NR0B1_GSM2383939	AUC = 0.655
WDR5_GSM1333369	AUC = 0.655
MITF_GSM1226224	AUC = 0.655
