CEBPB_ENCSR375BUB_1	AUC = 0.541
SUZ12_GSM969572	AUC = 0.541
RAD21_GSM935319	AUC = 0.540
CEBPB_ENCSR853DWE_2	AUC = 0.540
STAT1_GSM1057014	AUC = 0.540
PROX1_GSM1831051	AUC = 0.540
SUZ12_GSM935423	AUC = 0.540
NFKB2_GSM1556338	AUC = 0.540
EP300_GSM2550195	AUC = 0.540
TP63_GSM794862	AUC = 0.540
ASCL1_GSM1187231	AUC = 0.540
EP300_ENCSR610RKF_1	AUC = 0.539
EP300_ENCSR358ELZ_2	AUC = 0.539
KDM1A_GSM1844440	AUC = 0.539
EP300_ENCSR792VMN_1	AUC = 0.539
BMI1_GSM1138594	AUC = 0.539
NR3C1_ENCSR952GOL_3	AUC = 0.539
CTCF_GSM1224660	AUC = 0.539
NR3C1_ENCSR691GRA_3	AUC = 0.539
CTCF_GSM782156	AUC = 0.539
ESR1_GSM542548	AUC = 0.539
EP300_ENCSR841ASB_1	AUC = 0.539
SMC3_GSM2813840	AUC = 0.539
TCF7L2_GSM722419	AUC = 0.539
CEBPB_ENCSR447ZMS_1	AUC = 0.539
FOS_GSM777644	AUC = 0.539
STAT5B_GSM671402	AUC = 0.539
TAL1_GSM2877115	AUC = 0.539
SETDB1_GSM2514497	AUC = 0.539
TRIM22_ENCSR835XKS_1	AUC = 0.539
SSRP1_GSM1103548	AUC = 0.539
MYC_GSM991047	AUC = 0.539
CTCF_GSM646354	AUC = 0.539
CTCF_GSM733645	AUC = 0.539
RELA_GSM486278	AUC = 0.538
EP300_ENCSR610RKF_3	AUC = 0.538
GRHL3_GSM1034504	AUC = 0.538
NR3C1_ENCSR424JOE_3	AUC = 0.538
EP300_ENCSR260WCE_3	AUC = 0.538
RAD21_GSM803416	AUC = 0.538
GTF2I_GSM1539069	AUC = 0.538
CEBPB_ENCSR606ZTC_2	AUC = 0.538
CTCF_GSM1056577	AUC = 0.538
CLOCK_GSM1081128	AUC = 0.538
CTCF_GSM2572332	AUC = 0.538
IRF4_GSM803390	AUC = 0.538
TERF2_GSM1328845	AUC = 0.538
SUMO2_GSM1035435	AUC = 0.538
SMC1A_GSM2443456	AUC = 0.538
NR3C1_ENCSR287FWE_2	AUC = 0.538
PR_GSM770758	AUC = 0.538
GATA3_GSM1844610	AUC = 0.538
CEBPB_GSM2188503	AUC = 0.538
CEBPB_ENCSR752AQK_1	AUC = 0.537
CEBPA_GSM599838	AUC = 0.537
SMC3_GSM2813843	AUC = 0.537
RUNX1_GSM1480744	AUC = 0.537
NR3C1_ENCSR773NQB_1	AUC = 0.537
SUMO1_GSM1012773	AUC = 0.537
GATA2_GSM1097883	AUC = 0.537
