GRHL2_GSM2171834	AUC = 0.632
KDM2B_GSM2805880	AUC = 0.632
STAT3_GSM2278009	AUC = 0.632
SRC_GSM717978	AUC = 0.632
ZBTB48_GSM2543157	AUC = 0.632
ELF1_GSM1010765	AUC = 0.632
REST_GSM803344	AUC = 0.632
PHF8_GSM531964	AUC = 0.632
TOP1_GSM2058667	AUC = 0.632
TFDP1_ENCSR017GBO_1	AUC = 0.632
NR1H3_GSM2042848	AUC = 0.632
EZH2_GSM1180150	AUC = 0.632
POLR2A_GSM2042907	AUC = 0.632
E2F6_GSM701863	AUC = 0.632
SRC_GSM717979	AUC = 0.632
HDAC2_GSM830996	AUC = 0.632
ZBTB48_GSM2543150	AUC = 0.632
POLR2A_GSM2712771	AUC = 0.632
KLF1_ENCSR859BMR_1	AUC = 0.632
SRF_GSM1505778	AUC = 0.632
ZBTB48_GSM2543154	AUC = 0.632
CREB1_GSM1239450	AUC = 0.631
HDAC2_GSM831029	AUC = 0.631
HDAC2_GSM1003472	AUC = 0.631
GATA6_GSM1197320	AUC = 0.631
POLR3D_GSM1906345	AUC = 0.631
MYC_GSM1429415	AUC = 0.631
ESR1_GSM2648919	AUC = 0.631
GRHL2_GSM2171835	AUC = 0.631
TFAP2C_GSM2817670	AUC = 0.631
EZH2_GSM831028	AUC = 0.631
BRD4_GSM1328975	AUC = 0.631
KLF1_ENCSR859BMR_2	AUC = 0.631
ZBTB48_GSM2543155	AUC = 0.631
EP300_GSM1645719	AUC = 0.631
PHIP_GSM2711379	AUC = 0.631
POLR2A_GSM749817	AUC = 0.631
ESR1_GSM589237	AUC = 0.631
POLR2A_GSM1905393	AUC = 0.631
ESR1_GSM1325248	AUC = 0.631
MED1_GSM1470019	AUC = 0.631
ESR1_GSM2747693	AUC = 0.631
FOXA1_GSM659787	AUC = 0.630
SP1_GSM2065874	AUC = 0.630
ATF3_GSM2333815	AUC = 0.630
KDM5B_GSM1122662	AUC = 0.630
ESR1_GSM2071224	AUC = 0.630
NR1H3_GSM2042850	AUC = 0.630
KLF9_ENCSR125ZYC_2	AUC = 0.630
PRDM2_ENCSR714LYA_2	AUC = 0.630
TCF7L2_GSM1099033	AUC = 0.630
ERG_GSM585608	AUC = 0.630
POLR2A_GSM1006865	AUC = 0.630
TP53_GSM981237	AUC = 0.630
JUNB_GSM1239510	AUC = 0.630
ESR1_GSM470419	AUC = 0.630
NR1H2_GSM2042845	AUC = 0.630
E2F1_GSM1207913	AUC = 0.630
ESR1_GSM2747696	AUC = 0.630
JUND_GSM2266293	AUC = 0.630
TP63_GSM1489261	AUC = 0.630
TFDP1_GSM2132551	AUC = 0.630
MYC_GSM762710	AUC = 0.630
SRF_GSM1505777	AUC = 0.630
ZBTB48_GSM2543151	AUC = 0.630
KDM2B_GSM2805881	AUC = 0.630
HCFC1_ENCSR697CUP_2	AUC = 0.630
CTCF_GSM808752	AUC = 0.630
FOS_GSM659789	AUC = 0.630
ESR1_GSM1325247	AUC = 0.630
CTCF_GSM2067536	AUC = 0.629
ESR1_GSM2747703	AUC = 0.629
EP300_GSM1470014	AUC = 0.629
ESR1_GSM2797074	AUC = 0.629
CTCF_GSM2572332	AUC = 0.629
PHIP_GSM2711377	AUC = 0.629
TP63_GSM830121	AUC = 0.629
WDR5_GSM1034506	AUC = 0.629
ESR1_GSM1534746	AUC = 0.629
SIN3A_GSM1010905	AUC = 0.629
BRD4_GSM2359447	AUC = 0.629
MED1_GSM1470018	AUC = 0.629
POLR2A_GSM1872286	AUC = 0.629
E2F6_GSM1010766	AUC = 0.629
ESR1_GSM1003720	AUC = 0.629
ZBTB48_GSM2543149	AUC = 0.629
JARID2_GSM1180153	AUC = 0.629
POLR2A_GSM2042908	AUC = 0.629
HDAC1_GSM717398	AUC = 0.629
SP1_GSM2065879	AUC = 0.629
GLIS1_GSM1208752	AUC = 0.629
ESR1_GSM2648916	AUC = 0.629
SIRT1_GSM2474864	AUC = 0.629
ZNF143_GSM2024876	AUC = 0.629
JUND_GSM1208763	AUC = 0.629
POLR3D_GSM1906352	AUC = 0.629
EZH2_GSM1180158	AUC = 0.628
BRD2_GSM1328971	AUC = 0.628
RNF2_ENCSR523XCR_1	AUC = 0.628
TCF12_GSM803427	AUC = 0.628
HOXB13_GSM1208636	AUC = 0.628
SMAD2-SMAD3_GSM727557	AUC = 0.628
POLR2A_GSM1523077	AUC = 0.628
FAIRE_GSM631504	AUC = 0.628
MYCN_GSM2113515	AUC = 0.628
SNAI2_GSM1336153	AUC = 0.628
EZH2_GSM1180154	AUC = 0.628
ESR1_GSM1644001	AUC = 0.628
POLR2A_GSM588576	AUC = 0.628
HINFP_GSM1208631	AUC = 0.628
POLR2A_GSM1905392	AUC = 0.628
E2F1_GSM2046836	AUC = 0.628
SUZ12_GSM2409674	AUC = 0.628
H2AZ_GSM1981415	AUC = 0.628
RBL2_GSM497494	AUC = 0.628
TRIM28_GSM1467734	AUC = 0.628
POLR2A_GSM2042900	AUC = 0.628
FOXM1_GSM1876188	AUC = 0.628
SP1_GSM2065877	AUC = 0.628
HDAC1_GSM1080932	AUC = 0.628
POLR2A_GSM822295	AUC = 0.628
EP300_GSM1669024	AUC = 0.628
H2AZ_GSM1981416	AUC = 0.628
NR1H2_GSM2042844	AUC = 0.628
MYC_GSM748553	AUC = 0.628
FOXO3_GSM869307	AUC = 0.628
E2F1_GSM1207898	AUC = 0.628
PBX1_GSM989353	AUC = 0.628
TEAD4_GSM1084783	AUC = 0.628
SNAI2_GSM1336157	AUC = 0.628
ESR1_GSM801056	AUC = 0.628
TOP1_GSM2058675	AUC = 0.627
CDK8_GSM937562	AUC = 0.627
CLOCK_GSM1208719	AUC = 0.627
EP300_GSM1669066	AUC = 0.627
POLR2A_GSM1116660	AUC = 0.627
KDM5B_GSM831011	AUC = 0.627
POLR2A_GSM1276019	AUC = 0.627
KDM2B_GSM2805867	AUC = 0.627
ESR1_GSM365927	AUC = 0.627
MYC_GSM822291	AUC = 0.627
ZKSCAN1_ENCSR449UFF_1	AUC = 0.627
FOXG1_GSM1208746	AUC = 0.627
POLR2A_GSM2712772	AUC = 0.627
