TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
NCAPG2,-1.14,8.73E-01,-0.268,0.436,0.776,9.49E-01
AFF4,-2.982,9.99E-01,-2.046,0.54,0.776,9.50E-01
AGO2,-0.598,7.25E-01,-1.312,0.467,0.776,9.50E-01
PAF1,-2.676,9.96E-01,-1.761,0.53,0.778,9.51E-01
ATF1,-2.028,9.79E-01,-1.762,0.525,0.779,9.51E-01
EP400,-0.575,7.18E-01,-1.422,0.469,0.779,9.52E-01
ZBTB11,-1.332,9.09E-01,-1.488,0.508,0.78,9.52E-01
SETDB1,-2.693,9.97E-01,-0.864,0.51,0.781,9.53E-01
SCML2,-0.636,7.38E-01,-1.56,0.478,0.783,9.54E-01
PLRG1,-1.75,9.60E-01,0.17,0.431,0.783,9.54E-01
OVOL3,-0.855,8.04E-01,-1.117,0.468,0.783,9.54E-01
H2AFX,-1.672,9.53E-01,-0.251,0.465,0.784,9.54E-01
TLE3,-2.2,9.86E-01,0.101,0.449,0.786,9.56E-01
KLF13,-0.876,8.10E-01,-1.256,0.473,0.788,9.57E-01
BRD1,-0.461,6.78E-01,-1.904,0.477,0.79,9.58E-01
GREB1,-2.424,9.92E-01,-0.258,0.476,0.79,9.59E-01
MKL1,-0.621,7.33E-01,-1.467,0.466,0.791,9.59E-01
SUPT5H,-1.966,9.75E-01,-1.753,0.52,0.792,9.60E-01
ZNF287,-1.359,9.13E-01,-0.206,0.417,0.793,9.60E-01
MRE11A,-0.901,8.16E-01,-1.259,0.468,0.794,9.61E-01
EOMES,-2.048,9.80E-01,-0.25,0.464,0.796,9.62E-01
ZBTB14,-0.406,6.58E-01,-2.137,0.48,0.796,9.62E-01
ZNF44,-0.605,7.27E-01,-1.588,0.467,0.796,9.62E-01
HCFC1,-2.253,9.88E-01,-1.781,0.52,0.8,9.64E-01
BTAF1,-0.771,7.80E-01,-1.342,0.456,0.803,9.65E-01
TRAF7,-1.026,8.48E-01,-2.39,0.513,0.803,9.66E-01
BANP,-1.291,9.02E-01,-1.027,0.472,0.804,9.66E-01
GATA4,-5.746,1.00E+00,-0.974,0.505,0.805,9.66E-01
MYCN,-1.575,9.42E-01,-1.731,0.508,0.805,9.67E-01
ZNF592,-1.173,8.80E-01,-0.851,0.453,0.805,9.67E-01
ZNF260,-0.872,8.09E-01,-1.229,0.45,0.805,9.67E-01
FGFR1,-1.009,8.44E-01,-2.156,0.506,0.806,9.67E-01
