TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ELL2,-1.282,9.00E-01,-1.225,0.575,0.657,8.18E-01
MTA3,-1.342,9.10E-01,-1.413,0.587,0.657,8.19E-01
EHF,-1.088,8.62E-01,-1.063,0.558,0.658,8.20E-01
NCOR2,-1.002,8.42E-01,-0.95,0.545,0.66,8.24E-01
NFKB2,-1.112,8.67E-01,-0.772,0.539,0.661,8.24E-01
NR2C2,-1.783,9.63E-01,-1.207,0.592,0.661,8.25E-01
HOTAIR,-1.949,9.74E-01,0.017,0.525,0.662,8.27E-01
KMT2B,-0.812,7.92E-01,-0.914,0.533,0.663,8.27E-01
SMAD2,-2.067,9.81E-01,-0.448,0.556,0.664,8.29E-01
CDK12,-0.447,6.73E-01,-1.596,0.552,0.664,8.30E-01
ZBTB1,-0.763,7.77E-01,-1.314,0.557,0.664,8.30E-01
RING1,-1.334,9.09E-01,-0.871,0.553,0.666,8.33E-01
ZNF780A,-1.092,8.63E-01,-0.631,0.516,0.666,8.33E-01
ZNF549,-0.981,8.37E-01,-0.739,0.524,0.666,8.33E-01
EHMT2,-3.413,1.00E+00,-0.794,0.589,0.667,8.34E-01
TCF7L2,-2.431,9.93E-01,-2.466,0.661,0.668,8.35E-01
PGBD3,-0.924,8.22E-01,-0.829,0.527,0.669,8.37E-01
MYOG,-1.64,9.50E-01,-0.372,0.526,0.669,8.37E-01
KDM5A,-1.407,9.20E-01,-1.184,0.57,0.67,8.38E-01
GATA4,-4.445,1.00E+00,-0.482,0.569,0.671,8.40E-01
ZBTB10,-0.67,7.49E-01,-1.228,0.541,0.672,8.42E-01
KLF11,-0.644,7.40E-01,-1.889,0.564,0.673,8.42E-01
NFRKB,-1.028,8.48E-01,-1.081,0.549,0.673,8.43E-01
TBL1XR1,-0.741,7.71E-01,-1.436,0.556,0.673,8.43E-01
MYF5,-0.704,7.59E-01,-1.198,0.539,0.675,8.45E-01
BARX1,-0.712,7.62E-01,-1.191,0.538,0.675,8.45E-01
GTF3C2,-0.811,7.91E-01,-2.323,0.577,0.675,8.46E-01
MAML3,-2.06,9.80E-01,-0.087,0.526,0.675,8.46E-01
GLI4,-0.724,7.65E-01,-1.319,0.549,0.677,8.48E-01
ZKSCAN1,-1.412,9.21E-01,-1.274,0.571,0.677,8.49E-01
SND1,-1.666,9.52E-01,-0.791,0.556,0.678,8.50E-01
TEAD4,-2.958,9.99E-01,-0.826,0.583,0.679,8.51E-01
IRF3,-0.883,8.11E-01,-1.256,0.55,0.68,8.52E-01
BATF3,-1.065,8.57E-01,-0.758,0.518,0.681,8.54E-01
BRD9,-0.932,8.24E-01,-1.436,0.558,0.682,8.55E-01
PBX3,-0.924,8.22E-01,-1.516,0.559,0.682,8.55E-01
HMGN1,-0.605,7.28E-01,-1.416,0.544,0.682,8.56E-01
CBX5,-1.21,8.87E-01,-1.145,0.556,0.687,8.62E-01
MEF2A,-0.961,8.32E-01,-1.358,0.555,0.687,8.62E-01
VDR,-2.433,9.93E-01,-1.953,0.631,0.687,8.62E-01
IRF1,-2.126,9.83E-01,-1.698,0.613,0.688,8.63E-01
ZBTB40,-1.504,9.34E-01,-1.572,0.58,0.69,8.66E-01
NKX2-1,-2.383,9.91E-01,-0.963,0.578,0.691,8.67E-01
RFX5,-1.24,8.93E-01,-2.127,0.584,0.692,8.68E-01
DLX1,-0.69,7.55E-01,-1.372,0.54,0.692,8.69E-01
SIX2,-2.466,9.93E-01,-0.269,0.535,0.693,8.69E-01
ETS1,-2.924,9.98E-01,-1.831,0.629,0.694,8.71E-01
JUN,-4.142,1.00E+00,-1.087,0.595,0.694,8.71E-01
ZSCAN2,-1.066,8.57E-01,-0.837,0.518,0.695,8.72E-01
