TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF430,-1.082,8.60E-01,0.085,0.331,0.722,9.03E-01
BRD3,-1.987,9.77E-01,-2.393,0.501,0.722,9.04E-01
ERF,-1.323,9.07E-01,-0.4,0.397,0.723,9.04E-01
POLR2A,-33.454,1.00E+00,-2.542,0.519,0.723,9.04E-01
DLX1,-0.678,7.51E-01,-1.358,0.383,0.723,9.04E-01
CDC5L,-0.965,8.33E-01,-0.757,0.383,0.723,9.04E-01
RARG,-1.201,8.85E-01,-0.954,0.413,0.723,9.05E-01
H3F3B,-0.976,8.36E-01,-0.159,0.349,0.723,9.05E-01
ORC2,-0.714,7.62E-01,-1.189,0.38,0.723,9.05E-01
ZNF649,-1.153,8.76E-01,0.24,0.321,0.724,9.05E-01
CREB3,-0.959,8.31E-01,-0.815,0.384,0.724,9.06E-01
ZSCAN2,-0.885,8.12E-01,-0.598,0.36,0.727,9.08E-01
TAF7,-1.789,9.63E-01,-1.788,0.462,0.728,9.09E-01
ZNF547,-0.915,8.20E-01,-1.448,0.408,0.728,9.10E-01
TRRAP,-0.949,8.29E-01,-1.316,0.404,0.728,9.10E-01
XCL1,-0.632,7.36E-01,-1.663,0.388,0.728,9.10E-01
COPS2,-0.71,7.61E-01,-1.377,0.38,0.73,9.11E-01
KLF7,-0.762,7.77E-01,-1.715,0.405,0.731,9.12E-01
ARRB1,-1.157,8.76E-01,-0.406,0.377,0.733,9.14E-01
NCOA1,-0.967,8.33E-01,-1.05,0.387,0.733,9.15E-01
ETV1,-1.015,8.45E-01,-2.133,0.443,0.734,9.16E-01
HOXA6,-0.644,7.40E-01,-1.725,0.387,0.734,9.16E-01
PLRG1,-1.538,9.38E-01,0.346,0.337,0.735,9.16E-01
TARDBP,-0.886,8.12E-01,-1.8,0.415,0.735,9.16E-01
ZNF589,-0.924,8.22E-01,-1.362,0.397,0.736,9.17E-01
HINFP,-0.948,8.29E-01,-1.386,0.402,0.736,9.17E-01
NONO,-1.424,9.23E-01,0.135,0.348,0.736,9.17E-01
USP49,-1.2,8.85E-01,0.081,0.312,0.738,9.19E-01
ZNF189,-0.444,6.72E-01,-2.19,0.403,0.739,9.20E-01
RBBP5,-1.789,9.63E-01,-2.337,0.482,0.74,9.21E-01
NCOR2,-1.098,8.64E-01,-1.039,0.389,0.744,9.24E-01
POU3F2,-1.036,8.50E-01,-0.918,0.379,0.747,9.27E-01
ZBTB1,-0.898,8.15E-01,-1.509,0.394,0.749,9.29E-01
OVOL3,-1.028,8.48E-01,-1.322,0.392,0.749,9.29E-01
MKL1,-0.729,7.67E-01,-1.604,0.378,0.752,9.31E-01
CDK12,-0.648,7.42E-01,-1.937,0.386,0.752,9.31E-01
ZNF197,-0.898,8.15E-01,-1.585,0.389,0.754,9.33E-01
ZNF441,-0.512,6.96E-01,-2.22,0.398,0.754,9.33E-01
ZNF644,-1.034,8.49E-01,-1.467,0.395,0.757,9.35E-01
ZNF592,-1.145,8.74E-01,-0.821,0.37,0.757,9.36E-01
SETDB1,-3.351,1.00E+00,-1.32,0.439,0.758,9.36E-01
MCM3,-1.141,8.73E-01,-0.846,0.372,0.758,9.36E-01
NBN,-1.793,9.64E-01,-1.39,0.427,0.758,9.37E-01
MBOAT4,-0.739,7.70E-01,-1.717,0.377,0.759,9.37E-01
ZNF740,-1.134,8.72E-01,-1.891,0.421,0.761,9.39E-01
RUVBL1,-0.834,7.98E-01,-1.481,0.366,0.761,9.39E-01
ZKSCAN8,-1.094,8.63E-01,-1.312,0.383,0.762,9.39E-01
AGO2,-0.795,7.87E-01,-1.594,0.371,0.762,9.39E-01
ZNF584,-1.094,8.63E-01,-1.398,0.386,0.764,9.41E-01
ZNF618,-0.897,8.15E-01,-1.284,0.359,0.765,9.42E-01
PPARD,-0.787,7.84E-01,-1.68,0.371,0.765,9.42E-01
CDK8,-2.2,9.86E-01,-2.211,0.467,0.766,9.43E-01
