TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
RBL2,-3.365,1.00E+00,-1.95,0.237,0.88,9.92E-01
MEN1,-2.027,9.79E-01,-2.052,0.2,0.881,9.92E-01
RFX2,-1.528,9.37E-01,-2.192,0.161,0.884,9.93E-01
ZNF100,-1.56,9.41E-01,-2.619,0.289,0.884,9.93E-01
ZNF483,-1.29,9.02E-01,-2.781,0.228,0.885,9.93E-01
ZNF343,-1.193,8.84E-01,-3.175,0.249,0.885,9.93E-01
MAPK1,-1.629,9.48E-01,-2.845,0.32,0.886,9.93E-01
RBP2,-1.722,9.57E-01,-2,0.071,0.886,9.93E-01
IRAK4,-1.358,9.13E-01,-2.713,0.208,0.892,9.94E-01
TAF1,-3.483,1.00E+00,-2.79,0.355,0.892,9.94E-01
CSNK2A1,-1.536,9.38E-01,-2.331,0.159,0.893,9.95E-01
KAT5,-2.518,9.94E-01,-2.155,0.216,0.897,9.95E-01
TAFII,-2.113,9.83E-01,-2.189,0.185,0.898,9.95E-01
ZNF610,-1.795,9.64E-01,-3.086,0.328,0.899,9.95E-01
ORC1,-1.568,9.42E-01,-2.389,0.149,0.899,9.95E-01
TET1,-1.445,9.26E-01,-2.661,0.183,0.9,9.96E-01
RBBP5,-2.835,9.98E-01,-2.958,0.342,0.902,9.96E-01
GMEB2,-2.418,9.92E-01,-2.023,0.098,0.902,9.96E-01
FAM208A,-1.872,9.69E-01,-2.541,0.246,0.903,9.96E-01
ARID2,-1.634,9.49E-01,-2.922,0.298,0.903,9.96E-01
KLF12,-1.406,9.20E-01,-2.821,0.196,0.904,9.96E-01
OGT,-2.885,9.98E-01,-2.49,0.298,0.905,9.96E-01
KDM5A,-3.397,1.00E+00,-1.967,0.112,0.905,9.96E-01
TCOF1,-1.43,9.24E-01,-2.793,0.189,0.905,9.96E-01
XRN2,-4.026,1.00E+00,-2.502,0.308,0.908,9.97E-01
KDM4C,-1.372,9.15E-01,-3.233,0.205,0.91,9.97E-01
ZSCAN22,-2.261,9.88E-01,-2.574,0.264,0.91,9.97E-01
SP2,-2.509,9.94E-01,-2.744,0.306,0.911,9.97E-01
NRF1,-6.349,1.00E+00,-2.617,0.322,0.911,9.97E-01
DCP1A,-2.243,9.88E-01,-2.249,0.158,0.911,9.97E-01
FGFR1,-1.846,9.68E-01,-2.915,0.279,0.914,9.97E-01
ASH1L,-1.493,9.32E-01,-2.833,0.171,0.916,9.97E-01
NELFA,-5.14,1.00E+00,-2.156,0.19,0.916,9.97E-01
GTF2B,-4.609,1.00E+00,-2.233,0.227,0.916,9.97E-01
SRSF3,-2.226,9.87E-01,-2.378,0.157,0.917,9.97E-01
ZBTB14,-1.394,9.18E-01,-3.426,0.199,0.917,9.98E-01
ZNF711,-1.687,9.54E-01,-2.465,0.099,0.918,9.98E-01
SAP30,-2.976,9.99E-01,-2.639,0.283,0.918,9.98E-01
DDX21,-2.354,9.91E-01,-2.269,0.117,0.92,9.98E-01
TAF3,-1.536,9.38E-01,-2.8,0.159,0.921,9.98E-01
AUTS2,-1.534,9.38E-01,-2.866,0.16,0.922,9.98E-01
NCAPH2,-1.682,9.54E-01,-3.26,0.258,0.923,9.98E-01
MCRS1,-1.612,9.47E-01,-2.691,0.134,0.923,9.98E-01
SPIN1,-1.715,9.57E-01,-2.549,0.078,0.926,9.98E-01
KAT7,-1.513,9.35E-01,-3.094,0.165,0.927,9.98E-01
PHF8,-5.478,1.00E+00,-2.626,0.284,0.927,9.98E-01
U2AF1,-3.211,9.99E-01,-2.308,0.141,0.93,9.99E-01
BRD1,-1.545,9.39E-01,-3.099,0.157,0.932,9.99E-01
IRAK1,-1.576,9.42E-01,-3.181,0.147,0.937,9.99E-01
RPE,-3.165,9.99E-01,-2.695,0.211,0.94,9.99E-01
ZNF783,-1.593,9.44E-01,-3.414,0.14,0.941,9.99E-01
PHF6,-1.633,9.49E-01,-3.145,0.127,0.943,9.99E-01
BRPF3,-2.502,9.94E-01,-3.291,0.205,0.952,1.00E+00
PHF2,-2.264,9.88E-01,-3.06,0.143,0.955,1.00E+00
