TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
NR1H2,2.943,1.63E-03,2.456,0.597,0.073,1.72E-03
ZTA,2.087,1.85E-02,3.156,0.595,0.073,1.75E-03
WWTR1,2.416,7.85E-03,2.122,0.654,0.074,1.83E-03
KMT2B,1.693,4.52E-02,2.459,0.642,0.074,1.85E-03
ZNF175,1.862,3.13E-02,3.211,0.597,0.075,1.88E-03
ZKSCAN1,2.162,1.53E-02,3.533,0.588,0.075,1.91E-03
ICE2,1.637,5.08E-02,2.705,0.618,0.076,1.96E-03
GRHL2,3.826,6.52E-05,2.276,0.596,0.076,1.99E-03
FOS,3.445,2.85E-04,2.259,0.601,0.076,1.99E-03
CTCFL,3.012,1.30E-03,1.883,0.657,0.077,2.02E-03
ZNF592,2.059,1.97E-02,2.642,0.597,0.08,2.29E-03
HES2,7.331,1.14E-13,1.846,0.621,0.081,2.35E-03
BHLHE40,2.221,1.32E-02,2.999,0.583,0.082,2.48E-03
YBX1,1.872,3.06E-02,2.628,0.598,0.084,2.68E-03
MAX,3.851,5.89E-05,1.844,0.62,0.085,2.75E-03
TP73,2.075,1.90E-02,2.354,0.605,0.085,2.78E-03
NR1H3,2.671,3.78E-03,2.44,0.588,0.087,3.00E-03
SOX13,1.937,2.64E-02,2.508,0.595,0.088,3.07E-03
BACH1,2.146,1.59E-02,2.528,0.59,0.089,3.19E-03
ZNF654,2.293,1.09E-02,2.128,0.614,0.09,3.31E-03
EPAS1,1.675,4.70E-02,2.215,0.632,0.091,3.35E-03
DROSHA,2.176,1.48E-02,1.723,0.659,0.094,3.72E-03
RCOR1,2.113,1.73E-02,3.695,0.572,0.095,3.80E-03
NFE2L2,2.758,2.91E-03,1.932,0.606,0.096,4.02E-03
TOP1,2.18,1.46E-02,1.924,0.626,0.097,4.07E-03
HNF1A,2.307,1.05E-02,2.184,0.594,0.097,4.12E-03
RXRA,2.703,3.44E-03,1.684,0.623,0.099,4.40E-03
CEBPB,6.075,6.21E-10,1.577,0.611,0.1,4.54E-03
DNMT3A,1.705,4.41E-02,1.988,0.645,0.101,4.64E-03
ARID3A,1.889,2.94E-02,2.223,0.6,0.101,4.69E-03
MAFK,1.933,2.66E-02,2.452,0.587,0.102,4.74E-03
PRMT5,1.715,4.32E-02,1.865,0.657,0.104,4.99E-03
