TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF71,-0.701,7.58E-01,-1.822,0.382,0.689,8.64E-01
ZNF610,-0.594,7.24E-01,-1.843,0.375,0.689,8.65E-01
GATAD2B,-1.048,8.53E-01,-1.226,0.375,0.69,8.66E-01
POLR2A,-32.488,1.00E+00,-2.497,0.505,0.694,8.71E-01
PGBD3,-0.77,7.79E-01,-0.656,0.314,0.694,8.71E-01
PRAME,-0.491,6.88E-01,-1.468,0.343,0.695,8.72E-01
FOXM1,-3.503,1.00E+00,-1.761,0.446,0.695,8.72E-01
NCOR1,-1.304,9.04E-01,-1.932,0.42,0.697,8.74E-01
MGEA5,-0.428,6.66E-01,-1.763,0.348,0.697,8.75E-01
TEAD1-TEAD4,-0.851,8.03E-01,-0.555,0.305,0.697,8.75E-01
EHF,-1.066,8.57E-01,-1.041,0.358,0.698,8.77E-01
ZNF687,-0.769,7.79E-01,-1.078,0.339,0.698,8.77E-01
ZNF592,-0.976,8.36E-01,-0.639,0.324,0.703,8.83E-01
POLR2M,-0.664,7.47E-01,-1.814,0.368,0.705,8.84E-01
ZNF197,-0.702,7.59E-01,-1.332,0.344,0.705,8.84E-01
POU3F2,-0.909,8.18E-01,-0.795,0.328,0.705,8.85E-01
HOXA4,-0.382,6.49E-01,-1.951,0.353,0.705,8.85E-01
SIN3A,-2.393,9.92E-01,-2.456,0.479,0.706,8.86E-01
BTAF1,-0.653,7.43E-01,-1.121,0.327,0.706,8.86E-01
MTA3,-1.242,8.93E-01,-1.261,0.378,0.706,8.86E-01
CREB3L4,-0.79,7.85E-01,-0.839,0.312,0.707,8.87E-01
ZNF260,-0.727,7.66E-01,-0.951,0.319,0.708,8.88E-01
ZNF574,-0.467,6.80E-01,-1.775,0.345,0.708,8.88E-01
ZNF391,-0.741,7.71E-01,-1.773,0.368,0.708,8.88E-01
HLTF,-0.814,7.92E-01,-1.124,0.338,0.71,8.90E-01
ZNF783,-0.394,6.53E-01,-1.967,0.351,0.711,8.91E-01
ZNF280D,-0.702,7.59E-01,-1.497,0.347,0.712,8.92E-01
ZNF644,-0.879,8.10E-01,-1.273,0.348,0.712,8.93E-01
ORC2,-0.682,7.52E-01,-1.136,0.324,0.712,8.93E-01
BRD4,-9.343,1.00E+00,-2.633,0.494,0.714,8.95E-01
MCM7,-1.561,9.41E-01,-0.347,0.34,0.714,8.95E-01
ZNF740,-0.984,8.37E-01,-1.689,0.373,0.715,8.96E-01
STAT5B,-1.355,9.12E-01,-1.202,0.374,0.717,8.98E-01
CSDE1,-1.121,8.69E-01,-0.885,0.341,0.717,8.98E-01
ZNF649,-1.22,8.89E-01,0.141,0.255,0.718,8.99E-01
