TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
CBFA2T2,0.889,1.87E-01,2.205,0.516,0.324,1.52E-01
TCF12,0.578,2.82E-01,0.829,0.572,0.324,1.53E-01
ZC3H8,1.372,8.50E-02,1.426,0.515,0.326,1.56E-01
BRD9,1.001,1.59E-01,1.063,0.538,0.327,1.58E-01
ZEB1,1.124,1.31E-01,0.378,0.551,0.33,1.62E-01
ZNF382,1.144,1.26E-01,2.005,0.508,0.33,1.62E-01
ILK,0.968,1.66E-01,2.157,0.511,0.33,1.62E-01
ZNF93,0.869,1.93E-01,2.143,0.515,0.333,1.65E-01
ZBTB8A,1.495,6.75E-02,0.646,0.529,0.334,1.67E-01
ICE2,1,1.59E-01,1.574,0.523,0.334,1.67E-01
KRAB,1.551,6.05E-02,1.077,0.518,0.334,1.68E-01
POLR3A,0.774,2.19E-01,1.306,0.539,0.337,1.72E-01
ZNF780A,0.753,2.26E-01,2.43,0.508,0.34,1.76E-01
PHIP,1.905,2.84E-02,-0.59,0.541,0.34,1.77E-01
ZNF740,0.799,2.12E-01,0.705,0.554,0.343,1.81E-01
PGBD3,1.013,1.55E-01,1.336,0.524,0.343,1.82E-01
ZNF823,0.805,2.10E-01,2.221,0.51,0.343,1.82E-01
NEUROD1,0.123,4.51E-01,0.945,0.586,0.344,1.84E-01
TSHZ1,0.969,1.66E-01,1.85,0.511,0.347,1.88E-01
NR3C1,0.122,4.51E-01,0.813,0.594,0.348,1.89E-01
DDX20,1.305,9.60E-02,1.485,0.508,0.348,1.90E-01
ZFP37,1.303,9.64E-02,1.041,0.52,0.35,1.93E-01
RCOR1,0.836,2.02E-01,1.643,0.523,0.351,1.94E-01
TP73,1.094,1.37E-01,1.693,0.51,0.352,1.96E-01
ZBTB7A,1.503,6.64E-02,-0.447,0.544,0.352,1.96E-01
EGR2,0.866,1.93E-01,0.405,0.551,0.353,1.98E-01
PRKDC,0.898,1.85E-01,1.13,0.531,0.354,1.99E-01
HDAC8,1.065,1.44E-01,0.914,0.53,0.355,2.01E-01
PARP1,0.714,2.38E-01,2.35,0.505,0.357,2.05E-01
ZNF692,1.25,1.06E-01,1.075,0.516,0.359,2.09E-01
SETX,1.023,1.53E-01,1.053,0.525,0.36,2.10E-01
MYF5,0.866,1.93E-01,1.761,0.514,0.361,2.12E-01
MTA2,0.848,1.98E-01,0.964,0.534,0.363,2.15E-01
NFE2L2,0.917,1.80E-01,0.759,0.536,0.365,2.19E-01
SIRT6,0.833,2.02E-01,1.794,0.512,0.366,2.19E-01
MAFF,0.694,2.44E-01,1.891,0.514,0.366,2.20E-01
ZNF75D,0.81,2.09E-01,2.143,0.503,0.367,2.22E-01
TTF1,0.971,1.66E-01,1.8,0.504,0.37,2.27E-01
CUX1,0.897,1.85E-01,1.325,0.52,0.372,2.30E-01
NR2F6,0.987,1.62E-01,1.547,0.509,0.372,2.31E-01
INTS11,1.504,6.63E-02,0.073,0.524,0.374,2.35E-01
ZFP69B,1.168,1.22E-01,0.916,0.518,0.374,2.35E-01
ZNF605,0.67,2.52E-01,2.172,0.503,0.375,2.37E-01
ZNF547,0.92,1.79E-01,1.234,0.52,0.376,2.38E-01
ZNF501,1.256,1.05E-01,0.685,0.518,0.376,2.39E-01
GATAD2B,0.929,1.76E-01,1.544,0.51,0.377,2.40E-01
MBD2,0.278,3.91E-01,-0.275,0.641,0.378,2.42E-01
HNF4A,0.893,1.86E-01,0.895,0.528,0.378,2.42E-01
TP53,0.792,2.14E-01,0.621,0.537,0.38,2.46E-01
ZNF792,1.123,1.31E-01,1.109,0.512,0.38,2.46E-01
CBX4,1.067,1.43E-01,0.575,0.528,0.38,2.46E-01
ZFAT,0.821,2.06E-01,1.587,0.511,0.381,2.48E-01
NCAPG2,0.745,2.28E-01,1.827,0.507,0.382,2.50E-01
FOXA2,0.141,4.44E-01,0.939,0.552,0.385,2.55E-01
ZNF318,0.933,1.75E-01,1.032,0.52,0.386,2.57E-01
TCF7L2,0.201,4.20E-01,0.601,0.559,0.387,2.59E-01
MEF2D,0.92,1.79E-01,1.664,0.504,0.388,2.60E-01
HINFP,0.807,2.10E-01,0.792,0.53,0.388,2.61E-01
DDX5,0.188,4.26E-01,1.074,0.542,0.389,2.63E-01
ZNF573,0.63,2.64E-01,2.118,0.501,0.389,2.63E-01
NFE2,0.016,4.93E-01,0.098,0.606,0.39,2.64E-01
C11orf30,0.798,2.12E-01,1.708,0.506,0.391,2.67E-01
TBX5,0.936,1.75E-01,1.641,0.502,0.391,2.67E-01
ZNF414,1.138,1.28E-01,0.739,0.515,0.394,2.72E-01
ZNF586,0.499,3.09E-01,2.41,0.495,0.394,2.73E-01
DLX2,0.787,2.16E-01,1.529,0.51,0.395,2.74E-01
LEF1,0.303,3.81E-01,-0.162,0.577,0.396,2.76E-01
ID3,1.024,1.53E-01,1.211,0.506,0.396,2.76E-01
ZNF485,0.631,2.64E-01,1.949,0.501,0.398,2.81E-01
ZNF280D,0.963,1.68E-01,1.258,0.507,0.399,2.83E-01
FOS,0.567,2.85E-01,0.777,0.532,0.4,2.84E-01
ETV4,0.479,3.16E-01,0.558,0.541,0.402,2.87E-01
ERCC6,0.547,2.92E-01,0.778,0.531,0.405,2.94E-01
KLF1,0.881,1.89E-01,0.039,0.536,0.406,2.96E-01
ZNF304,0.567,2.86E-01,2.046,0.498,0.406,2.96E-01
PCGF2,1,1.59E-01,1.038,0.507,0.407,2.98E-01
RFX1,0.786,2.16E-01,1.441,0.506,0.407,2.98E-01
PCGF1,0.698,2.43E-01,-0.911,0.569,0.407,2.98E-01
ZSCAN23,0.917,1.80E-01,0.983,0.512,0.408,3.01E-01
DNMT3B,-0.262,6.03E-01,0.225,0.592,0.409,3.02E-01
ZNF778,0.546,2.93E-01,1.509,0.51,0.409,3.03E-01
EZH1,0.326,3.72E-01,-1.09,0.649,0.411,3.05E-01
TFAP4,0.826,2.05E-01,1.062,0.512,0.411,3.05E-01
EGLN2,0.727,2.34E-01,1.414,0.506,0.411,3.05E-01
ZNF490,0.538,2.95E-01,2.068,0.497,0.411,3.06E-01
ZNF592,0.808,2.10E-01,1.29,0.507,0.411,3.07E-01
